gpcr,name,accession,receptor_class,receptor_family,ligand_type,subfamily,endogenous_ligands,species
c3ar_human,C3a receptor,Q16581,Class A (Rhodopsin),Complement peptide receptors,Peptide receptors,C3a receptor,"[{'name': 'C5a'}, {'name': 'C5a'}, {'name': 'C5a'}, {'name': 'C3a'}, {'name': 'C3a'}, {'name': 'C3a'}]",Homo sapiens
c5ar1_human,C5a<sub>1</sub> receptor,P21730,Class A (Rhodopsin),Complement peptide receptors,Peptide receptors,C5a<sub>1</sub> receptor,"[{'name': 'C5a'}, {'name': 'C5a des-Arg'}, {'name': 'C5a'}, {'name': 'C5a'}, {'name': 'C3a'}, {'name': 'C3a'}, {'name': 'C3a'}, {'name': 'ribosomal protein S19'}]",Homo sapiens
c5ar2_human,C5a<sub>2</sub> receptor,Q9P296,Class A (Rhodopsin),Complement peptide receptors,Peptide receptors,C5a<sub>2</sub> receptor,"[{'name': 'C5a'}, {'name': 'C5a des-Arg'}]",Homo sapiens
ednra_human,ET<sub>A</sub> receptor,P25101,Class A (Rhodopsin),Endothelin receptors,Peptide receptors,ET<sub>A</sub> receptor,"[{'name': 'endothelin-1'}, {'name': 'endothelin-1'}, {'name': 'endothelin-1'}, {'name': 'endothelin-1'}, {'name': 'endothelin-1'}, {'name': 'endothelin-1'}, {'name': 'endothelin-1'}, {'name': 'endothelin-1'}, {'name': 'endothelin-1'}, {'name': 'endothelin-2'}, {'name': 'endothelin-3'}, {'name': 'endothelin-2'}, {'name': 'endothelin-2'}]",Homo sapiens
ednrb_human,ET<sub>B</sub> receptor,P24530,Class A (Rhodopsin),Endothelin receptors,Peptide receptors,ET<sub>B</sub> receptor,"[{'name': 'endothelin-1'}, {'name': 'endothelin-1'}, {'name': 'endothelin-1'}, {'name': 'endothelin-2'}, {'name': 'endothelin-3'}, {'name': 'endothelin-3'}, {'name': 'endothelin-3'}, {'name': 'endothelin-3'}, {'name': 'endothelin-3'}, {'name': 'endothelin-3'}, {'name': 'endothelin-2'}, {'name': 'endothelin-2'}]",Homo sapiens
fpr1_human,FPR1,P21462,Class A (Rhodopsin),Formylpeptide receptors,Peptide receptors,FPR1,"[{'name': 'fMet-Leu-Phe'}, {'name': 'spinorphin'}, {'name': 'annexin I'}, {'name': 'annexin I'}, {'name': 'annexin I'}, {'name': 'cathepsin G'}, {'name': 'cathepsin G'}, {'name': 'cathepsin G'}]",Homo sapiens
fpr2_human,FPR2/ALX,P25090,Class A (Rhodopsin),Formylpeptide receptors,Peptide receptors,FPR2/ALX,"[{'name': 'fMet-Leu-Phe'}, {'name': 'annexin I'}, {'name': 'LXA<sub>4</sub>'}, {'name': 'LXA<sub>4</sub>'}, {'name': 'humanin'}, {'name': 'LTD<sub>4</sub>'}, {'name': 'LTC<sub>4</sub>'}, {'name': '15-deoxy-LXA4'}, {'name': 'annexin I'}, {'name': 'annexin I'}, {'name': 'aspirin triggered lipoxin A4'}, {'name': 'aspirin triggered lipoxin A4'}, {'name': 'resolvin D1'}, {'name': 'resolvin D1'}, {'name': 'LL-37'}, {'name': 'aspirin-triggered resolvin D1'}, {'name': 'serum amyloid A'}, {'name': 'PrP<sub>106-126</sub>'}]",Homo sapiens
fpr3_human,FPR3,P25089,Class A (Rhodopsin),Formylpeptide receptors,Peptide receptors,FPR3,"[{'name': 'annexin I-(2-26)'}, {'name': 'humanin'}, {'name': 'F2L'}, {'name': 'F2L'}, {'name': 'F2L'}]",Homo sapiens
galr1_human,GAL<sub>1</sub> receptor,P47211,Class A (Rhodopsin),Galanin receptors,Peptide receptors,GAL<sub>1</sub> receptor,"[{'name': 'galanin'}, {'name': 'galanin-like peptide'}, {'name': 'galanin-like peptide'}]",Homo sapiens
galr2_human,GAL<sub>2</sub> receptor,O43603,Class A (Rhodopsin),Galanin receptors,Peptide receptors,GAL<sub>2</sub> receptor,"[{'name': 'galanin'}, {'name': 'galanin-like peptide'}, {'name': 'galanin-like peptide'}, {'name': 'galanin-like peptide'}, {'name': 'spexin-1'}]",Homo sapiens
galr3_human,GAL<sub>3</sub> receptor,O60755,Class A (Rhodopsin),Galanin receptors,Peptide receptors,GAL<sub>3</sub> receptor,"[{'name': 'galanin'}, {'name': 'galanin'}, {'name': 'galanin'}, {'name': 'galanin-like peptide'}, {'name': 'galanin-like peptide'}, {'name': 'spexin-1'}]",Homo sapiens
ghsr_human,ghrelin receptor,Q92847,Class A (Rhodopsin),Ghrelin receptors,Peptide receptors,ghrelin receptor,"[{'name': 'ghrelin'}, {'name': 'ghrelin'}, {'name': 'ghrelin'}, {'name': '[des-Gln<sup>14</sup>]ghrelin'}, {'name': '[des-Gln<sup>14</sup>]ghrelin'}, {'name': '[des-Gln<sup>14</sup>]ghrelin'}]",Homo sapiens
gnrhr_human,GnRH<sub>1</sub> receptor,P30968,Class A (Rhodopsin),Gonadotrophin-releasing hormone receptors,Peptide receptors,GnRH<sub>1</sub> receptor,"[{'name': 'GnRH I'}, {'name': 'GnRH I'}, {'name': 'GnRH I'}, {'name': 'GnRH II'}]",Homo sapiens
kissr_human,kisspeptin receptor,Q969F8,Class A (Rhodopsin),Kisspeptin receptors,Peptide receptors,kisspeptin receptor,"[{'name': 'kisspeptin-10'}, {'name': 'kisspeptin-13'}, {'name': 'kisspeptin-14'}, {'name': 'kisspeptin-54'}, {'name': 'kisspeptin-52'}, {'name': 'kisspeptin-52'}, {'name': 'kisspeptin-10'}, {'name': 'kisspeptin-10'}]",Homo sapiens
mchr1_human,MCH<sub>1</sub> receptor,Q99705,Class A (Rhodopsin),Melanin-concentrating hormone,Peptide receptors,MCH<sub>1</sub> receptor,"[{'name': 'melanin-concentrating hormone'}, {'name': 'melanin-concentrating hormone'}, {'name': 'melanin-concentrating hormone'}, {'name': 'melanin-concentrating hormone'}, {'name': 'melanin-concentrating hormone'}, {'name': 'melanin-concentrating hormone'}]",Homo sapiens
mchr2_human,MCH<sub>2</sub> receptor,Q969V1,Class A (Rhodopsin),Melanin-concentrating hormone,Peptide receptors,MCH<sub>2</sub> receptor,"[{'name': 'melanin-concentrating hormone'}, {'name': 'melanin-concentrating hormone'}, {'name': 'melanin-concentrating hormone'}, {'name': 'melanin-concentrating hormone'}, {'name': 'melanin-concentrating hormone'}, {'name': 'melanin-concentrating hormone'}, {'name': 'melanin-concentrating hormone'}, {'name': 'melanin-concentrating hormone'}, {'name': 'melanin-concentrating hormone'}]",Homo sapiens
mshr_human,MC<sub>1</sub> receptor,Q01726,Class A (Rhodopsin),Melanocortin receptors,Peptide receptors,MC<sub>1</sub> receptor,"[{'name': '&alpha;-MSH'}, {'name': '&alpha;-MSH'}, {'name': '&alpha;-MSH'}, {'name': '&alpha;-MSH'}, {'name': '&alpha;-MSH'}, {'name': '&alpha;-MSH'}, {'name': '&alpha;-MSH'}, {'name': '&alpha;-MSH'}, {'name': '&alpha;-MSH'}, {'name': 'ACTH'}, {'name': 'ACTH'}, {'name': '&gamma;-MSH'}, {'name': '&gamma;-MSH'}, {'name': '&gamma;-MSH'}, {'name': '&beta;-MSH'}, {'name': '&beta;-MSH'}, {'name': '&beta;-MSH'}, {'name': 'ACTH'}]",Homo sapiens
acthr_human,MC<sub>2</sub> receptor,Q01718,Class A (Rhodopsin),Melanocortin receptors,Peptide receptors,MC<sub>2</sub> receptor,"[{'name': 'ACTH'}, {'name': 'ACTH'}, {'name': 'ACTH'}]",Homo sapiens
mc3r_human,MC<sub>3</sub> receptor,P41968,Class A (Rhodopsin),Melanocortin receptors,Peptide receptors,MC<sub>3</sub> receptor,"[{'name': '&alpha;-MSH'}, {'name': '&alpha;-MSH'}, {'name': '&alpha;-MSH'}, {'name': '&alpha;-MSH'}, {'name': '&alpha;-MSH'}, {'name': '&alpha;-MSH'}, {'name': '&alpha;-MSH'}, {'name': '&alpha;-MSH'}, {'name': '&alpha;-MSH'}, {'name': 'ACTH'}, {'name': 'ACTH'}, {'name': '&gamma;-MSH'}, {'name': '&gamma;-MSH'}, {'name': '&gamma;-MSH'}, {'name': '&gamma;-MSH'}, {'name': '&gamma;-MSH'}, {'name': '&gamma;-MSH'}, {'name': '&gamma;-MSH'}, {'name': '&gamma;-MSH'}, {'name': '&gamma;-MSH'}, {'name': 'agouti-related protein'}, {'name': '&beta;-MSH'}, {'name': '&beta;-MSH'}, {'name': '&beta;-MSH'}, {'name': 'ACTH'}]",Homo sapiens
mc4r_human,MC<sub>4</sub> receptor,P32245,Class A (Rhodopsin),Melanocortin receptors,Peptide receptors,MC<sub>4</sub> receptor,"[{'name': '&alpha;-MSH'}, {'name': '&alpha;-MSH'}, {'name': '&alpha;-MSH'}, {'name': '&alpha;-MSH'}, {'name': '&alpha;-MSH'}, {'name': '&alpha;-MSH'}, {'name': '&alpha;-MSH'}, {'name': '&alpha;-MSH'}, {'name': '&alpha;-MSH'}, {'name': 'ACTH'}, {'name': 'ACTH'}, {'name': '&gamma;-MSH'}, {'name': '&gamma;-MSH'}, {'name': '&gamma;-MSH'}, {'name': 'agouti-related protein'}, {'name': '&beta;-MSH'}, {'name': '&beta;-MSH'}, {'name': '&beta;-MSH'}, {'name': 'ACTH'}]",Homo sapiens
mc5r_human,MC<sub>5</sub> receptor,P33032,Class A (Rhodopsin),Melanocortin receptors,Peptide receptors,MC<sub>5</sub> receptor,"[{'name': '&alpha;-MSH'}, {'name': '&alpha;-MSH'}, {'name': '&alpha;-MSH'}, {'name': '&alpha;-MSH'}, {'name': '&alpha;-MSH'}, {'name': '&alpha;-MSH'}, {'name': '&alpha;-MSH'}, {'name': '&alpha;-MSH'}, {'name': '&alpha;-MSH'}, {'name': 'ACTH'}, {'name': 'ACTH'}, {'name': '&gamma;-MSH'}, {'name': '&gamma;-MSH'}, {'name': '&gamma;-MSH'}, {'name': 'agouti-related protein'}, {'name': '&beta;-MSH'}, {'name': '&beta;-MSH'}, {'name': '&beta;-MSH'}, {'name': 'ACTH'}]",Homo sapiens
mtlr_human,motilin receptor,O43193,Class A (Rhodopsin),Motilin receptors,Peptide receptors,motilin receptor,"[{'name': 'motilin'}, {'name': 'motilin'}, {'name': 'motilin'}, {'name': 'motilin'}]",Homo sapiens
nmur1_human,NMU1 receptor,Q9HB89,Class A (Rhodopsin),Neuromedin U receptors,Peptide receptors,NMU1 receptor,"[{'name': 'neuromedin S-33'}, {'name': 'neuromedin U-23'}, {'name': 'neuromedin U-25'}, {'name': 'neuromedin U-23'}, {'name': 'neuromedin S-36'}, {'name': 'neuromedin S-36'}]",Homo sapiens
nmur2_human,NMU2 receptor,Q9GZQ4,Class A (Rhodopsin),Neuromedin U receptors,Peptide receptors,NMU2 receptor,"[{'name': 'neuromedin S-33'}, {'name': 'neuromedin U-23'}, {'name': 'neuromedin U-25'}, {'name': 'neuromedin S-36'}, {'name': 'neuromedin S-36'}]",Homo sapiens
npff1_human,NPFF1 receptor,Q9GZQ6,Class A (Rhodopsin),Neuropeptide FF/neuropeptide AF receptors,Peptide receptors,NPFF1 receptor,"[{'name': 'neuropeptide FF'}, {'name': 'neuropeptide FF'}, {'name': 'neuropeptide FF'}, {'name': 'neuropeptide FF'}, {'name': 'neuropeptide FF'}, {'name': 'neuropeptide FF'}, {'name': 'neuropeptide FF'}, {'name': 'neuropeptide FF'}, {'name': 'neuropeptide FF'}, {'name': 'PrRP-31'}, {'name': 'QRFP43 (43RFa)'}, {'name': 'neuropeptide AF'}, {'name': 'neuropeptide SF'}, {'name': 'RFRP-3'}, {'name': 'neuropeptide AF'}, {'name': 'neuropeptide AF'}, {'name': 'neuropeptide SF'}, {'name': 'neuropeptide SF'}, {'name': 'RFRP-1'}]",Homo sapiens
npff2_human,NPFF2 receptor,Q9Y5X5,Class A (Rhodopsin),Neuropeptide FF/neuropeptide AF receptors,Peptide receptors,NPFF2 receptor,"[{'name': 'neuropeptide FF'}, {'name': 'neuropeptide FF'}, {'name': 'neuropeptide FF'}, {'name': 'neuropeptide FF'}, {'name': 'neuropeptide FF'}, {'name': 'neuropeptide FF'}, {'name': 'neuropeptide FF'}, {'name': 'neuropeptide FF'}, {'name': 'neuropeptide FF'}, {'name': 'PrRP-31'}, {'name': 'QRFP43 (43RFa)'}, {'name': 'neuropeptide AF'}, {'name': 'neuropeptide SF'}, {'name': 'RFRP-3'}, {'name': 'neuropeptide AF'}, {'name': 'neuropeptide AF'}, {'name': 'RFRP-1'}]",Homo sapiens
npsr1_human,NPS receptor,Q6W5P4,Class A (Rhodopsin),Neuropeptide S receptors,Peptide receptors,NPS receptor,"[{'name': 'neuropeptide S'}, {'name': 'neuropeptide S'}, {'name': 'neuropeptide S'}]",Homo sapiens
npbw1_human,NPBW1 receptor,P48145,Class A (Rhodopsin),Neuropeptide W/neuropeptide B receptors,Peptide receptors,NPBW1 receptor,"[{'name': 'neuropeptide W-23'}, {'name': 'neuropeptide W-30'}, {'name': 'des-Br-neuropeptide B-23'}, {'name': 'des-Br-neuropeptide B-29'}, {'name': 'neuropeptide B-23'}, {'name': 'neuropeptide B-29'}, {'name': 'neuropeptide W-23'}, {'name': 'neuropeptide W-23'}, {'name': 'neuropeptide W-30'}, {'name': 'neuropeptide W-30'}, {'name': 'neuropeptide B-23'}, {'name': 'neuropeptide B-23'}, {'name': 'neuropeptide B-29'}, {'name': 'neuropeptide B-29'}]",Homo sapiens
npbw2_human,NPBW2 receptor,P48146,Class A (Rhodopsin),Neuropeptide W/neuropeptide B receptors,Peptide receptors,NPBW2 receptor,"[{'name': 'neuropeptide W-23'}, {'name': 'neuropeptide W-30'}, {'name': 'neuropeptide B-23'}, {'name': 'neuropeptide B-29'}, {'name': 'neuropeptide W-23'}, {'name': 'neuropeptide W-23'}, {'name': 'neuropeptide W-30'}, {'name': 'neuropeptide W-30'}, {'name': 'neuropeptide B-23'}, {'name': 'neuropeptide B-23'}, {'name': 'neuropeptide B-29'}, {'name': 'neuropeptide B-29'}]",Homo sapiens
npy1r_human,Y<sub>1</sub> receptor,P25929,Class A (Rhodopsin),Neuropeptide Y receptors,Peptide receptors,Y<sub>1</sub> receptor,"[{'name': 'neuropeptide Y'}, {'name': 'neuropeptide Y'}, {'name': 'neuropeptide Y'}, {'name': 'neuropeptide Y'}, {'name': 'neuropeptide Y'}, {'name': 'neuropeptide Y'}, {'name': 'pancreatic polypeptide'}, {'name': 'peptide YY'}, {'name': 'peptide YY'}, {'name': 'peptide YY'}, {'name': 'peptide YY'}, {'name': 'peptide YY'}, {'name': 'peptide YY'}, {'name': 'peptide YY'}, {'name': 'pancreatic polypeptide'}]",Homo sapiens
npy2r_human,Y<sub>2</sub> receptor,P49146,Class A (Rhodopsin),Neuropeptide Y receptors,Peptide receptors,Y<sub>2</sub> receptor,"[{'name': 'neuropeptide Y'}, {'name': 'neuropeptide Y'}, {'name': 'neuropeptide Y'}, {'name': 'neuropeptide Y'}, {'name': 'neuropeptide Y'}, {'name': 'neuropeptide Y'}, {'name': 'pancreatic polypeptide'}, {'name': 'pancreatic polypeptide'}, {'name': 'peptide YY'}, {'name': 'peptide YY'}, {'name': 'peptide YY'}, {'name': 'peptide YY'}, {'name': 'peptide YY'}, {'name': 'peptide YY'}, {'name': 'peptide YY'}, {'name': 'PYY-(3-36)'}, {'name': 'pancreatic polypeptide'}, {'name': 'neuropeptide Y-(3-36)'}, {'name': 'neuropeptide Y-(3-36)'}, {'name': 'neuropeptide Y-(3-36)'}, {'name': 'neuropeptide Y-(3-36)'}, {'name': 'neuropeptide Y-(3-36)'}, {'name': 'neuropeptide Y-(3-36)'}, {'name': 'neuropeptide Y-(3-36)'}, {'name': 'neuropeptide Y-(3-36)'}, {'name': 'neuropeptide Y-(3-36)'}]",Homo sapiens
npy4r_human,Y<sub>4</sub> receptor,P50391,Class A (Rhodopsin),Neuropeptide Y receptors,Peptide receptors,Y<sub>4</sub> receptor,"[{'name': 'neuropeptide Y'}, {'name': 'neuropeptide Y'}, {'name': 'neuropeptide Y'}, {'name': 'neuropeptide Y'}, {'name': 'neuropeptide Y'}, {'name': 'neuropeptide Y'}, {'name': 'pancreatic polypeptide'}, {'name': 'peptide YY'}, {'name': 'peptide YY'}, {'name': 'peptide YY'}, {'name': 'peptide YY'}, {'name': 'PYY-(3-36)'}, {'name': 'PYY-(3-36)'}, {'name': 'pancreatic polypeptide'}]",Homo sapiens
npy5r_human,Y<sub>5</sub> receptor,Q15761,Class A (Rhodopsin),Neuropeptide Y receptors,Peptide receptors,Y<sub>5</sub> receptor,"[{'name': 'neuropeptide Y'}, {'name': 'neuropeptide Y'}, {'name': 'neuropeptide Y'}, {'name': 'neuropeptide Y'}, {'name': 'neuropeptide Y'}, {'name': 'neuropeptide Y'}, {'name': 'pancreatic polypeptide'}, {'name': 'peptide YY'}, {'name': 'peptide YY'}, {'name': 'peptide YY'}, {'name': 'peptide YY'}, {'name': 'peptide YY'}, {'name': 'peptide YY'}, {'name': 'peptide YY'}, {'name': 'PYY-(3-36)'}, {'name': 'PYY-(3-36)'}, {'name': 'pancreatic polypeptide'}]",Homo sapiens
npy6r_human,y<sub>6</sub> receptor,Q99463,Class A (Rhodopsin),Neuropeptide Y receptors,Peptide receptors,y<sub>6</sub> receptor,[],Homo sapiens
ntr1_human,NTS<sub>1</sub> receptor,P30989,Class A (Rhodopsin),Neurotensin receptors,Peptide receptors,NTS<sub>1</sub> receptor,"[{'name': 'large neuromedin N'}, {'name': 'large neurotensin'}, {'name': 'neuromedin N'}, {'name': 'neuromedin N'}, {'name': 'neurotensin'}, {'name': 'neurotensin'}, {'name': 'neurotensin'}, {'name': 'neurotensin'}, {'name': 'neurotensin'}, {'name': 'neurotensin'}, {'name': 'neurotensin'}, {'name': 'neurotensin'}, {'name': 'neurotensin'}, {'name': 'neurotensin'}, {'name': 'neurotensin'}, {'name': 'neurotensin'}, {'name': 'neuromedin N'}, {'name': 'large neuromedin N'}, {'name': 'large neuromedin N'}]",Homo sapiens
ntr2_human,NTS<sub>2</sub> receptor,O95665,Class A (Rhodopsin),Neurotensin receptors,Peptide receptors,NTS<sub>2</sub> receptor,"[{'name': 'neurotensin'}, {'name': 'neurotensin'}, {'name': 'neurotensin'}, {'name': 'neurotensin'}, {'name': 'neurotensin'}, {'name': 'neurotensin'}, {'name': 'neurotensin'}, {'name': 'neurotensin'}, {'name': 'xenin'}, {'name': 'xenin'}, {'name': 'xenin'}, {'name': 'xenin'}, {'name': 'xenin'}, {'name': 'xenin'}, {'name': 'neuromedin N'}]",Homo sapiens
