identifier,InteractionProbability
ccr3_human___4358,0.252
ccr3_human___776,0.459
ccr3_human___798,0.49
ccr3_human___855,0.0
ccr4_human___1152,0.386
ccr4_human___1579,0.207
ccr4_human___3542,0.323
ccr4_human___3640,0.086
ccr4_human___681,0.206
ccr4_human___754,0.451
ccr4_human___758,0.338
ccr4_human___771,0.399
ccr4_human___798,0.543
ccr4_human___821,0.4
ccr5_human___1136,0.361
ccr5_human___1699,0.391
ccr5_human___2098,0.238
ccr5_human___3643,0.266
ccr5_human___3645,0.238
ccr5_human___5654,0.211
ccr5_human___754,0.494
ccr5_human___758,0.64
ccr5_human___776,0.504
ccr5_human___798,0.492
ccr5_human___819,0.257
ccr6_human___1152,0.261
ccr6_human___2257,0.331
ccr6_human___4358,0.339
ccr6_human___5654,0.116
ccr6_human___681,0.045
ccr6_human___687,0.181
ccr6_human___758,0.276
ccr6_human___808,0.503
ccr6_human___817,0.458
ccr6_human___855,0.055
ccr7_human___1136,0.187
ccr7_human___1490,0.097
ccr7_human___1504,0.215
ccr7_human___1579,0.125
ccr7_human___2156,0.221
ccr7_human___758,0.345
ccr7_human___808,0.34
ccr7_human___810,0.416
ccr7_human___817,0.36
ccr7_human___855,0.0
ccr8_human___1152,0.285
ccr8_human___1514,0.067
ccr8_human___3570,0.216
ccr8_human___3606,0.107
ccr8_human___754,0.077
ccr8_human___798,0.341
ccr8_human___808,0.265
ccr8_human___812,0.441
ccr8_human___821,0.34
ccr8_human___861,0.211
ccr9_human___2168,0.069
ccr9_human___2257,0.26
ccr9_human___3542,0.04
ccr9_human___3548,0.049
ccr9_human___758,0.223
ccr9_human___798,0.187
ccr9_human___808,0.452
ccr9_human___810,0.3
ccr9_human___817,0.494
ccr9_human___855,0.005
cml1_human___1047,0.181
cml1_human___1157,0.266
cml1_human___1479,0.235
cml1_human___1681,0.155
cml1_human___2945,0.357
cml1_human___3592,0.203
cml1_human___3700,0.016
cml1_human___5654,0.23
cml1_human___574,0.035
cml1_human___681,0.257
cml1_human___687,0.082
cml2_human___1136,0.139
cml2_human___1157,0.249
cml2_human___1643,0.109
cml2_human___1681,0.189
cml2_human___2945,0.437
cml2_human___3592,0.154
cml2_human___3700,0.0
cml2_human___644,0.325
cml2_human___646,0.366
cml2_human___681,0.125
cml2_human___687,0.168
crfr1_human___1152,0.058
crfr1_human___1470,0.025
crfr1_human___1514,0.053
crfr1_human___1790,0.104
crfr1_human___2174,0.008
crfr1_human___2257,0.056
crfr1_human___3643,0.291
crfr1_human___3647,0.0
crfr1_human___3700,0.0
crfr1_human___687,0.116
crfr1_human___921,0.511
crfr2_human___1140,0.19
crfr2_human___1152,0.106
crfr2_human___1272,0.0
crfr2_human___1333,0.081
crfr2_human___1790,0.27
crfr2_human___1867,0.0
crfr2_human___2168,0.032
crfr2_human___2257,0.344
crfr2_human___3594,0.052
crfr2_human___3643,0.319
crfr2_human___921,0.551
cx3c1_human___2257,0.403
cx3c1_human___3548,0.0
cx3c1_human___3647,0.393
cx3c1_human___5654,0.241
cx3c1_human___644,0.245
cx3c1_human___681,0.26
cx3c1_human___798,0.398
cx3c1_human___808,0.286
cx3c1_human___817,0.409
cx3c1_human___921,0.155
cxcr1_human___1504,0.248
cxcr1_human___1790,0.18
cxcr1_human___3542,0.099
cxcr1_human___3643,0.317
cxcr1_human___3645,0.405
cxcr1_human___3700,0.0
cxcr1_human___758,0.267
cxcr1_human___798,0.297
cxcr1_human___808,0.342
cxcr1_human___819,0.46
cxcr1_human___821,0.485
cxcr2_human___1099,0.181
cxcr2_human___1579,0.037
cxcr2_human___2945,0.199
cxcr2_human___3645,0.419
cxcr2_human___585,0.097
cxcr2_human___5895,0.08
cxcr2_human___687,0.121
cxcr2_human___758,0.317
cxcr2_human___771,0.222
cxcr2_human___819,0.423
cxcr2_human___921,0.133
cxcr3_human___1790,0.128
cxcr3_human___2098,0.083
cxcr3_human___2257,0.283
cxcr3_human___3570,0.171
cxcr3_human___3645,0.431
cxcr3_human___3646,0.315
cxcr3_human___5895,0.0
cxcr3_human___6067,0.054
cxcr3_human___758,0.279
cxcr3_human___819,0.391
cxcr3_human___821,0.374
cxcr4_human___1099,0.125
cxcr4_human___2168,0.2
cxcr4_human___3542,0.105
cxcr4_human___4358,0.515
cxcr4_human___5654,0.203
cxcr4_human___644,0.178
cxcr4_human___646,0.296
cxcr4_human___758,0.22
cxcr4_human___798,0.314
cxcr4_human___808,0.08
cxcr4_human___921,0.048
cxcr5_human___1136,0.109
cxcr5_human___1458,0.105
cxcr5_human___2257,0.2
cxcr5_human___3570,0.464
cxcr5_human___3645,0.443
cxcr5_human___3700,0.0
cxcr5_human___758,0.299
cxcr5_human___771,0.149
cxcr5_human___808,0.068
cxcr5_human___819,0.232
cxcr5_human___821,0.27
cxcr6_human___1152,0.391
cxcr6_human___1320,0.103
cxcr6_human___2156,0.313
cxcr6_human___2270,0.073
cxcr6_human___681,0.092
cxcr6_human___798,0.328
cxcr6_human___808,0.108
cxcr6_human___810,0.026
cxcr6_human___817,0.065
cxcr6_human___821,0.068
cxcr6_human___855,0.438
fpr1_human___1047,0.208
fpr1_human___1152,0.274
fpr1_human___1157,0.242
fpr1_human___2019,0.231
fpr1_human___3570,0.326
fpr1_human___3935,0.2
fpr1_human___4058,0.219
fpr1_human___612,0.324
fpr1_human___613,0.311
fpr1_human___687,0.16
fpr1_human___771,0.0
fzd1_human___1320,0.135
fzd1_human___1490,0.018
fzd1_human___2945,0.085
fzd1_human___3548,0.036
fzd1_human___6067,0.012
fzd1_human___612,0.2
fzd1_human___644,0.064
fzd1_human___681,0.0
fzd1_human___810,0.0
fzd1_human___921,0.079
fzd1_human___989,0.127
fzd2_human___1157,0.087
fzd2_human___1490,0.029
fzd2_human___1643,0.016
fzd2_human___3548,0.081
fzd2_human___3735,0.102
fzd2_human___644,0.062
fzd2_human___681,0.0
fzd2_human___758,0.0
fzd2_human___817,0.0
fzd2_human___921,0.083
fzd6_human___3542,0.151
fzd6_human___3548,0.274
fzd6_human___3594,0.097
fzd6_human___3646,0.0
fzd6_human___3735,0.118
fzd6_human___644,0.08
fzd6_human___646,0.066
fzd6_human___681,0.008
fzd6_human___758,0.051
fzd6_human___808,0.008
fzd6_human___921,0.107
galr1_human___11417,0.439
galr1_human___1157,0.201
galr1_human___1479,0.227
galr1_human___2945,0.147
galr1_human___3548,0.017
galr1_human___3592,0.608
galr1_human___3700,0.0
galr1_human___3735,0.175
galr1_human___5654,0.211
galr1_human___573,0.052
galr3_human___1136,0.231
galr3_human___1157,0.211
galr3_human___1162,0.288
galr3_human___1623,0.33
galr3_human___1790,0.127
galr3_human___3594,0.544
galr3_human___3643,0.081
galr3_human___612,0.221
galr3_human___613,0.494
galr3_human___644,0.228
galr3_human___921,0.219
glp1r_human___1136,0.577
glp1r_human___1140,0.55
glp1r_human___1152,0.566
glp1r_human___1157,0.0
glp1r_human___1272,0.002
glp1r_human___1333,0.013
glp1r_human___2257,0.5
glp1r_human___2945,0.077
glp1r_human___3542,0.534
glp1r_human___3643,0.499
glp1r_human___4358,0.0
glp2r_human___1136,0.603
glp2r_human___1140,0.61
glp2r_human___1152,0.547
glp2r_human___2019,0.049
glp2r_human___2257,0.523
glp2r_human___3542,0.553
glp2r_human___3643,0.538
glp2r_human___3645,0.069
glp2r_human___3646,0.0
glp2r_human___808,0.013
glr_human___1136,0.654
glr_human___1140,0.615
glr_human___1152,0.598
glr_human___1162,0.0
glr_human___1272,0.0
glr_human___2257,0.563
glr_human___3542,0.609
glr_human___3643,0.556
glr_human___6067,0.084
glr_human___754,0.0
glr_human___758,0.0
gpr75_human___1152,0.358
gpr75_human___1504,0.265
gpr75_human___2089,0.261
gpr75_human___2090,0.181
gpr75_human___2168,0.305
gpr75_human___3548,0.023
gpr75_human___4057,0.161
gpr75_human___5895,0.405
gpr75_human___6067,0.041
gpr75_human___613,0.153
gpr75_human___758,0.403
hrh4_human___1099,0.028
hrh4_human___1140,0.045
hrh4_human___1272,0.0
hrh4_human___1298,0.088
hrh4_human___1681,0.112
hrh4_human___3633,0.094
hrh4_human___3645,0.085
hrh4_human___3700,0.009
hrh4_human___644,0.105
hrh4_human___687,0.101
hrh4_human___758,0.0
lgr4_human___1157,0.148
lgr4_human___1298,0.167
lgr4_human___2019,0.12
lgr4_human___2098,0.161
lgr4_human___3700,0.453
lgr4_human___5654,0.286
lgr4_human___573,0.01
lgr4_human___585,0.142
lgr4_human___776,0.007
lgr4_human___817,0.012
lgr5_human___1140,0.106
lgr5_human___1157,0.137
lgr5_human___1298,0.136
lgr5_human___1458,0.207
lgr5_human___1997,0.206
lgr5_human___2019,0.123
lgr5_human___3548,0.0
lgr5_human___3606,0.108
lgr5_human___3700,0.464
lgr5_human___5654,0.271
lgr5_human___921,0.064
lgr6_human___1157,0.149
lgr6_human___1333,0.215
lgr6_human___1997,0.16
lgr6_human___2270,0.061
lgr6_human___3548,0.0
lgr6_human___3700,0.414
lgr6_human___4057,0.132
lgr6_human___4358,0.053
lgr6_human___5654,0.292
lgr6_human___582,0.212
lgr6_human___613,0.192
npy1r_human___1298,0.504
npy1r_human___1504,0.538
npy1r_human___1871,0.331
npy1r_human___2089,0.114
npy1r_human___2090,0.011
npy1r_human___2098,0.21
npy1r_human___3700,0.0
npy1r_human___644,0.236
npy1r_human___771,0.007
npy1r_human___812,0.032
npy1r_human___921,0.167
npy2r_human___1152,0.339
npy2r_human___1157,0.232
npy2r_human___1283,0.217
npy2r_human___1458,0.214
npy2r_human___1479,0.232
npy2r_human___1504,0.589
npy2r_human___1699,0.174
npy2r_human___1871,0.468
npy2r_human___2156,0.448
npy2r_human___2270,0.179
npy2r_human___861,0.325
npy4r_human___1136,0.148
npy4r_human___1140,0.111
npy4r_human___1283,0.214
npy4r_human___1514,0.54
npy4r_human___1871,0.276
npy4r_human___2089,0.144
npy4r_human___2090,0.063
npy4r_human___2098,0.181
npy4r_human___5654,0.167
npy4r_human___687,0.145
npy4r_human___771,0.021
npy5r_human___1157,0.19
npy5r_human___1504,0.583
npy5r_human___1681,0.214
npy5r_human___1871,0.415
npy5r_human___1997,0.344
npy5r_human___2168,0.176
npy5r_human___3548,0.012
npy5r_human___3570,0.326
npy5r_human___3643,0.465
npy5r_human___5895,0.391
npy5r_human___758,0.009
oprm_human___1157,0.178
oprm_human___1162,0.343
oprm_human___1298,0.199
oprm_human___1643,0.249
oprm_human___1681,0.187
oprm_human___2019,0.321
oprm_human___2945,0.001
oprm_human___3542,0.145
oprm_human___3548,0.0
oprm_human___3700,0.0
oprm_human___5654,0.167
ox1r_human___1152,0.249
ox1r_human___1157,0.222
ox1r_human___1479,0.196
ox1r_human___1699,0.213
ox1r_human___1871,0.177
ox1r_human___3735,0.199
ox1r_human___4058,0.246
ox1r_human___5654,0.181
ox1r_human___612,0.225
ox1r_human___613,0.252
ox1r_human___758,0.0
par4_human___11417,0.129
par4_human___1298,0.181
par4_human___1458,0.141
par4_human___1579,0.168
par4_human___1997,0.156
par4_human___2019,0.158
par4_human___2270,0.114
par4_human___3570,0.348
par4_human___574,0.109
par4_human___681,0.116
par4_human___687,0.175
pkr1_human___1004,0.182
pkr1_human___1157,0.156
pkr1_human___1470,0.097
pkr1_human___1681,0.129
pkr1_human___1867,0.528
pkr1_human___1871,0.152
pkr1_human___3548,0.0
pkr1_human___3570,0.31
pkr1_human___613,0.189
pkr1_human___687,0.168
pkr1_human___989,0.048
pkr2_human___1004,0.168
pkr2_human___1152,0.101
pkr2_human___1458,0.131
pkr2_human___1681,0.123
pkr2_human___1790,0.033
pkr2_human___1867,0.52
pkr2_human___1871,0.152
pkr2_human___5654,0.122
pkr2_human___613,0.195
pkr2_human___921,0.107
pkr2_human___989,0.214
xcr1_human___1790,0.181
xcr1_human___2270,0.101
xcr1_human___3542,0.163
xcr1_human___3647,0.484
xcr1_human___5336,0.135
xcr1_human___644,0.221
xcr1_human___646,0.279
xcr1_human___687,0.11
xcr1_human___754,0.105
xcr1_human___817,0.101
